belongs_to_collection,count,mean,sum
Bang Rajan Collection,0,,0.0
Begotten Collection,0,,0.0
Beck Collection,0,,0.0
Beck - Historien om ett brott,0,,0.0
Beach Party Collection,0,,0.0
Battlestar Galactica (Reboot) Collection,0,,0.0
Batman: The Dark Knight Returns Collection,0,,0.0
Batman Unlimited Collection,0,,0.0
Batman Beyond Collection,0,,0.0
Basket Case Collection,0,,0.0
Barrytown Trilogy,0,,0.0
Barney Collection,0,,0.0
Barefoot Gen Collection,0,,0.0
Barbie Mariposa Collection,0,,0.0
Barbie Fairytopia Collection,0,,0.0
Barbarian Queen Collection,0,,0.0
Ants in the Pants Collection,0,,0.0
Antboy Collection,0,,0.0
Annika Bengtzon Collection,0,,0.0
Alienation Trilogy,0,,0.0
Afro Samurai Collection,0,,0.0
Adventures of a ...,0,,0.0
Adventures of Mowgli,0,,0.0
Ada Apa Dengan Cinta? Collection,0,,0.0
Action Pack Bandit Films Collection,0,,0.0
Aces Go Places Collection,0,,0.0
A Man Called Horse Collection,0,,0.0
A Golden Christmas Collection,0,,0.0
A Chinese Ghost Story Collection,0,,0.0
3 Ninjas Collection,0,,0.0
3 Men Collection,0,,0.0
2001 Maniacs Collection,0,,0.0
1920 Collection,0,,0.0
100 Girls Collection,0,,0.0
08/15 Collection,0,,0.0
Alan Davies Collection,0,,0.0
All Hallow's Eve Collection,0,,0.0
Anne of Green Gables Collection,0,,0.0
All Stars Collectie,0,,0.0
Anja & Viktor Collection,0,,0.0
Aniskin Collection,0,,0.0
Animation Runner Kuromi (OAV collection),0,,0.0
Angelique Collection,0,,0.0
Anders Matthesen,0,,0.0
Anche gli angeli - Collezione,0,,0.0
Anatomy Collection,0,,0.0
An American Girl Collection,0,,0.0
American Pie (Spin-off) Collection,0,,0.0
American Addict Collection,0,,0.0
Alligator Collection,0,,0.0
Allan Quatermain (1950 series),0,,0.0
All of My Heart Collection,0,,0.0
"All inclusive, или все включено (Коллекция)",0,,0.0
All for ...,0,,0.0
Belle et Sébastien,0,,0.0
Bhoothnath Collection,0,,0.0
Deadly Prey Collection,0,,0.0
Circuitry Man Collection,0,,0.0
Corto Maltese,0,,0.0
Contracted Collection,0,,0.0
Confessions Collection,0,,0.0
Cold War Collection,0,,0.0
Cold Prey Collection,0,,0.0
Cleopatra Jones,0,,0.0
Classmates Collection,0,,0.0
Chinese Boxer Collection,0,,0.0
Big Man Collection,0,,0.0
China O'Brien Collection,0,,0.0
Che Collection,0,,0.0
Charlotte's Web Collection,0,,0.0
Charlie Chan (Warner Oland) Collection,0,,0.0
Charlie Chan (Sidney Toler) Collection,0,,0.0
Charlie Chan (Roland Winters) Collection,0,,0.0
Chaar Sahibzaade Collection,0,,0.0
Count Yorga Collection,0,,0.0
Cross Collection,0,,0.0
Cross of Iron Collection,0,,0.0
Crows Collection,0,,0.0
Dead or Alive Collection,0,,0.0
Dead in Tombstone Collection,0,,0.0
Dead Space Collection,0,,0.0
Dead Rising Collection,0,,0.0
Davy Crockett Collection,0,,0.0
Das Sams Collection,0,,0.0
Dark Woods Collection,0,,0.0
Dark Rising Collection,0,,0.0
Daffy Duck Movie Collection,0,,0.0
Dabangg Collection,0,,0.0
DMB Collection,0,,0.0
DC Super Hero Girls Collection,0,,0.0
Cyborg Cop Trilogy,0,,0.0
Cyborg 009 Collection,0,,0.0
CyberTracker Collection,0,,0.0
Cat Stevens y Hutch Bessy Trilogy,0,,0.0
Cat Run Collection,0,,0.0
Carmina - Colección,0,,0.0
Boston Blackie Series,0,,0.0
Born Free Trilogy,0,,0.0
Bloodfist Collection,0,,0.0
Bloodfight,0,,0.0
Blood Island (Hammer series),0,,0.0
Blondie Collection,0,,0.0
Bleach (Collection),0,,0.0
Blacula Collection,0,,0.0
Black Scorpion Collection,0,,0.0
Black Magic Collection,0,,0.0
Black Emanuelle Collection,0,,0.0
Black & White Collection,0,,0.0
Birdemic Collection,0,,0.0
Bionicle Collection,0,,0.0
Billa Collection,0,,0.0
Bikini Summer Collection,0,,0.0
Born To Race Collection,0,,0.0
Boys Love Collection,0,,0.0
Cardcaptor Sakura Collection,0,,0.0
Break Blade Collection,0,,0.0
Captain America 1979 Classic Collection,0,,0.0
Caprona Collection,0,,0.0
Caprinos Eventyrlige Verden,0,,0.0
Caméra Café,0,,0.0
Camp Rock Collection,0,,0.0
Calcutta Trilogy,0,,0.0
Cabin By The Lake Collection,0,,0.0
Caballeros Collection,0,,0.0
Burnout Collection,0,,0.0
Bullit & Riper Collection,0,,0.0
Bulldog Drummond (Richard Johnson) Collection,0,,0.0
Brother Collection,0,,0.0
Brother Bear Collection,0,,0.0
Brice Collection,0,,0.0
Breakin' Collection,0,,0.0
Hidden Collection,0,,0.0
Hornblower Collection,0,,0.0
Schoolgirl Report Collection,0,,0.0
"Ninja, Band of Assassins Collection",0,,0.0
Nuke 'Em High Collection,0,,0.0
Not Quite Human Collection,0,,0.0
Northpole,0,,0.0
Nobody Collection,0,,0.0
No Good Middle-Aged Yakuza Trilogy,0,,0.0
Nitro Collection,0,,0.0
Ninjas vs. Collection,0,,0.0
Ninja Collection,0,,0.0
"Pagnol, Childhood's Memories",0,,0.0
Nick Carter Collection,0,,0.0
Nevada Smith Collection,0,,0.0
Nemesis Collection,0,,0.0
Nekromantik Collection,0,,0.0
Naval Cadets Collection,0,,0.0
Nativity Collection,0,,0.0
Napapiirin sankarit,0,,0.0
OSS 117 Collection,0,,0.0
OSS 117 The Original Saga,0,,0.0
Ocho apellidos - Colección,0,,0.0
Old Way Collection,0,,0.0
Overheard Collection,0,,0.0
Outrage Collection,0,,0.0
Outpost Collection,0,,0.0
Outlaw Gangster VIP: The Complete Collection,0,,0.0
Our Man Flint Collection,0,,0.0
Otto Collection,0,,0.0
Ostwind Filmreihe,0,,0.0
Osobennosti Natsionalnoy ... - Collection,0,,0.0
Oskar Luts Collection,0,,0.0
Onomichi Trilogy,0,,0.0
One Missed Call Collection,0,,0.0
On Any Sunday Collection,0,,0.0
Omae Umasou Da na,0,,0.0
Olympia,0,,0.0
Olsen Banden (Samling),0,,0.0
Nana Collection,0,,0.0
Naked Fear Collection,0,,0.0
Naked Collection,0,,0.0
Mr. Boogedy Collection,0,,0.0
Mountain Family Robinson Collection,0,,0.0
Mothra Collection,0,,0.0
00 Schneider Filmreihe,0,,0.0
Moskva-Kassiopeya Collection,0,,0.0
Monster High Collection,0,,0.0
Mondo Cane Collection,0,,0.0
Mods Collection,0,,0.0
Mobile Suit Gundam Collection,0,,0.0
Mister Roberts Collection,0,,0.0
Mister Blot Collection,0,,0.0
Minions: 3 Mini-Movie Collection,0,,0.0
Miles Jupp Standup Collection,0,,0.0
Mikogami Trilogy / Wanderer Jôkichi,0,,0.0
Midnight Diner Collection,0,,0.0
Mickey's Upon a Christmas Collection,0,,0.0
Mr. Bones Collection,0,,0.0
Mr. Moto Collection,0,,0.0
Nadodikkattu Collection,0,,0.0
Mr. Vampire Collection,0,,0.0
NASU Collection,0,,0.0
Mörderischer Norden,0,,0.0
Mythica Collection,0,,0.0
Mystery Woman,0,,0.0
My Wife is a Gangster Collection,0,,0.0
My Sisters Kids Collection,0,,0.0
My Sassy Girl Collection,0,,0.0
My Mom is a Character Collection,0,,0.0
My Little Pony: Equestria Girls Collection,0,,0.0
My Girl Collection,0,,0.0
My Friends Collection,0,,0.0
"Murder, She Baked Collection",0,,0.0
Munna Bhai Collection,0,,0.0
Mrs. Miracle Collection,0,,0.0
Mr. Wong Collection,0,,0.0
PTU Collection,0,,0.0
Painted Skin Collection,0,,0.0
Meu Passado me Condena,0,,0.0
Ring of Fire Collection,0,,0.0
Romantik Komedi [Seri],0,,0.0
Robotech (Samling),0,,0.0
Robot Jox Collection,0,,0.0
Robot Chicken: Star Wars Collection,0,,0.0
Robert,0,,0.0
Road to Collection,0,,0.0
Ringo Collection,0,,0.0
"Rico, Oskar 1, 2 & 3",0,,0.0
Panda! Go Panda! Collección,0,,0.0
Richie Rich Collection,0,,0.0
Richard the Lionheart Collection,0,,0.0
Rest Stop Collection,0,,0.0
Resident Evil: Biohazard,0,,0.0
Regalo di Natale - Collezione,0,,0.0
Reeker Collection,0,,0.0
Red Lotus Collection,0,,0.0
Rudolph the Red-Nosed Reindeer Collection,0,,0.0
Running Out Of Time Collection,0,,0.0
SPL Collection,0,,0.0
Sabrina the Teenage Witch Collection,0,,0.0
Sağ Salim Serisi,0,,0.0
Sartana Collection,0,,0.0
"Sarah, Plain and Tall Collection",0,,0.0
Santas Paw,0,,0.0
Santa's Apprentice,0,,0.0
Santa Baby Collection,0,,0.0
Samurai Collection,0,,0.0
Sammy's Adventure Collection,0,,0.0
Sami Swoi Collection,0,,0.0
Salt and Pepper Collection,0,,0.0
Saints and Soldiers Collection,0,,0.0
Saint Seiya Collection,0,,0.0
Sailor Moon Collection,0,,0.0
Saheb Biwi Aur Gangster Collection,0,,0.0
Sadako 3D Collection,0,,0.0
Rare Exports Collection,0,,0.0
Ranma Collection,0,,0.0
Rampage Collection,0,,0.0
Poison Ivy Collection,0,,0.0
Piranha Collection,0,,0.0
Pippi Longstocking,0,,0.0
Pierino - Serie ufficiale,0,,0.0
Phobia Collection,0,,0.0
Philo Vance Collection,0,,0.0
Per Fly trilogien (Samling),0,,0.0
Penitenciaría - Colección,0,,0.0
Pekko aikamiespoika Collection,0,,0.0
Patlabor Collection,0,,0.0
Parent Trap Collection,0,,0.0
Parasyte Collection,0,,0.0
Paranormal Investigations Collection,0,,0.0
Paradise Lost Collection,0,,0.0
Papa ou Maman Collection,0,,0.0
"Pane, amore e… - Collezione",0,,0.0
Pitbull - Kolekcja,0,,0.0
Prep & Landing Collection,0,,0.0
Rakht Charitra,0,,0.0
Problem Child Collection,0,,0.0
Race Gurram collection,0,,0.0
Race Collection,0,,0.0
Raaz Collection,0,,0.0
Quatermass (Hammer series),0,,0.0
Quando le donne avevano la coda,0,,0.0
Puss 'n Boots Collection,0,,0.0
Pusher Collection,0,,0.0
Puppet Master Collection,0,,0.0
Pumping Iron Collection,0,,0.0
Puff Collection,0,,0.0
Public Enemy Series,0,,0.0
Psy Collection,0,,0.0
Prudence et Bélisaire Beresford Collection,0,,0.0
Prostokvashino Collection,0,,0.0
Project A Collection,0,,0.0
Mi Nismo Anđeli Collection,0,,0.0
Men in the City Collection,0,,0.0
Horror High Collection,0,,0.0
K3 Collectie,0,,0.0
Kevin Smith: Silent Bob Speaks!,0,,0.0
Kenny Rogers Legend Of The Gambler,0,,0.0
Kenji Misumi's Trilogy of the Sword,0,,0.0
Kati Collection,0,,0.0
Kathleen Madigan Collection,0,,0.0
Karlson Collection,0,,0.0
Karas The Collection,0,,0.0
Jönsson Gang,0,,0.0
LEGO DC Comics Super Heroes Collection,0,,0.0
Justice League Collection,0,,0.0
Jungledyret Hugo Collection,0,,0.0
Jungle Jim Collection,0,,0.0
Ju-on Collection,0,,0.0
Journey to the West Collection,0,,0.0
Joséphine - Saga,0,,0.0
Johnny Tsunami Collection,0,,0.0
Kiler Collection,0,,0.0
Kill Buljo Collection,0,,0.0
Killer Crocodile Collection,0,,0.0
Killer Tomatoes! Collection,0,,0.0
Kung Fu Mahjong Collection,0,,0.0
Krummerne (Samling),0,,0.0
Krrish Collection,0,,0.0
Kolpaçino Serisi,0,,0.0
Koker Trilogy,0,,0.0
Kocan Kadar Konuş Serisi,0,,0.0
Knerten Collection,0,,0.0
Klovn,0,,0.0
Kleines Arschloch Collection,0,,0.0
Klassefesten (Samling),0,,0.0
Kizumonogatari,0,,0.0
Kirikou,0,,0.0
King of the Zombies Collection,0,,0.0
Kim Possible Collection,0,,0.0
Killjoy,0,,0.0
John Pinette Collection,0,,0.0
Johan Falk GSI Collection,0,,0.0
Johan Falk Collection,0,,0.0
"Ilsa, She Wolf of the SS Collection",0,,0.0
Il medico della mutua Collection,0,,0.0
Il Maresciallo Giraldi Collection,0,,0.0
If You Are the One (Collection),0,,0.0
If These Walls Could Talk Collection,0,,0.0
If I Were You Collection,0,,0.0
I soliti idioti Collection,0,,0.0
I pompieri - Collezione,0,,0.0
I due carabinieri Collecion,0,,0.0
I Spit on Your Grave (Original) Collection,0,,0.0
I Love a Mystery movie series,0,,0.0
I Am Curious Collection,0,,0.0
How I Unleashed World War II,0,,0.0
Housefull Collection,0,,0.0
House of Angels Collection,0,,0.0
Hot Wheels: AcceleRacers - Collection,0,,0.0
Il tassinaro,0,,0.0
Immaturi Collection,0,,0.0
Jesse Stone Collection,0,,0.0
"Impy, the small dinosaur Collection",0,,0.0
Jack Frost Collection,0,,0.0
Ivan The Terrible Collection,0,,0.0
Ivan Brovkin Collection,0,,0.0
It's Alive Collection,0,,0.0
Isi/Disi Collection,0,,0.0
Ironclad Collection,0,,0.0
Iron Eagle Collection,0,,0.0
Inuyasha Collection,0,,0.0
Inspector Gadget Collection,0,,0.0
Inoshika Ocho series,0,,0.0
Inner Sanctum mysteries,0,,0.0
In the Vineyard Collection,0,,0.0
In the Name of the King Collection,0,,0.0
In the Line of Duty Collection,0,,0.0
In China They Eat Dogs Collection,0,,0.0
Kusswechsel Filmreihe,0,,0.0
La Classe Américaine & Cie,0,,0.0
Memories Collection,0,,0.0
Lucky Stars Collection,0,,0.0
Macross Frontier Collection,0,,0.0
Macon County Collection,0,,0.0
MacGyver (TV Movies) Collection,0,,0.0
Ma and Pa Kettle Collection,0,,0.0
MVP,0,,0.0
M.D. Geist Collection,0,,0.0
Lupin the Third Collection,0,,0.0
Lucky Luke (Terence Hill) Collection,0,,0.0
La Tour Infernale,0,,0.0
Lucky Luke (Animation) Collection,0,,0.0
Love in a... Collection,0,,0.0
Love Hina Collection,0,,0.0
Lotta,0,,0.0
Loose Change Collection,0,,0.0
Long Arm of the Law Collection,0,,0.0
Lonesome Dove Collection,0,,0.0
Macskafogó gyűjtemény,0,,0.0
Madeline,0,,0.0
Madicken,0,,0.0
Magic Kid Collection,0,,0.0
Megazone 23 Collection,0,,0.0
Mega Shark Collection,0,,0.0
Meatballs Collection,0,,0.0
McDull Collection,0,,0.0
"Martin Scorsese’s World Cinema Project, Vol. 1",0,,0.0
Martial Law Collection,0,,0.0
Mark Collection,0,,0.0
"Maria, ihm schmeckt's nicht!",0,,0.0
Mardock Scramble Collection,0,,0.0
Manuale d'amore - Collezione,0,,0.0
Mann Filmreihe,0,,0.0
Maniac Cop Collection,0,,0.0
Mandıra Filozofu Serisi,0,,0.0
Man of Marble/Iron Collection,0,,0.0
Maigret (Rowan Atkinson) Collection,0,,0.0
Lone Wolf film series,0,,0.0
Lone Wolf and Cub Collection,0,,0.0
Living Trilogy,0,,0.0
Legends of the Poisonous Seductress,0,,0.0
Left Behind Collection,0,,0.0
Lee Rock Collection,0,,0.0
Le Gendarme de St. Tropez Collection,0,,0.0
Le Cœur des Hommes,0,,0.0
Lavalantula Collection,0,,0.0
Lauras Stern,0,,0.0
Lassie (Kinofilme),0,,0.0
LasseMaja: Samling,0,,0.0
Largo Winch Collection,0,,0.0
Lamù Collection,0,,0.0
Lammbock Collection,0,,0.0
Laid to Rest Collection,0,,0.0
Lady Snowblood Collection,0,,0.0
La trilogie de la mort – Nacho Cerda,0,,0.0
La Trilogie Marseillaise,0,,0.0
Legend of the Galactic Heroes Collection,0,,0.0
Lemmy Caution Collection,0,,0.0
Little Witch Academia Collection,0,,0.0
Lemon Popsicle Collection,0,,0.0
Little Nicholas Collection,0,,0.0
Little Forest Collection,0,,0.0
Little Bear,0,,0.0
Lilla Jönsonligan Collection,0,,0.0
Like Mike Collection,0,,0.0
Library Wars Collection,0,,0.0
Lezioni di Cioccolato Collection,0,,0.0
Letters to Santa Collection,0,,0.0
Les Tuche,0,,0.0
Les Ripoux - Trilogie,0,,0.0
Les Profs,0,,0.0
Les Mystères de l'ouest (Collection),0,,0.0
Les Charlots - Saga,0,,0.0
Les Boys,0,,0.0
Leningrad Cowboys Collection,0,,0.0
식객 시리즈,0,,0.0
